code,select_td,buy_td,t0,f1_ma20_slope,f2_close_ma20_dev,f3_mdd_5d,f4_ret_acc,f5_amt_ma20,f6_vol_20d,score,rank,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
515220.SH,2024-01-18,2024-01-19,2024-01-18,-0.7978965730193552,-0.4731587956036059,0.5335724802230086,-0.3878340162336444,-0.47115458699723617,-0.6336221459205552,-0.22183803670501245,1,2024-01-26,2.35,2.4530000000000003,0.04382978723404274,0.04382978723404274,TRADE_OK,2025-12-23
513000.SH,2024-01-25,2024-01-26,2024-01-25,0.2593573034131887,0.3226228191634211,-2.0258525813184747,0.0631946376833591,-0.43038194795253104,0.05948892039239314,0.24651422229082898,1,2024-02-02,1.344,1.3800000000000001,0.026785714285714413,0.026785714285714413,TRADE_OK,2025-12-23
513290.SH,2024-01-25,2024-01-26,2024-01-25,-0.5247205221068043,-0.5053666246002222,0.5438168764349044,-0.38257985319487997,-0.5126623266344915,-0.9317191187796938,-0.12436909401375887,2,2024-02-02,1.147,1.157,0.008718395815169977,0.008718395815169977,TRADE_OK,2025-12-23
159928.SZ,2024-03-07,2024-03-08,2024-03-07,-0.38917515333340336,0.42309467525779393,0.863384458501287,0.7419783204358309,-0.5324299528505455,-0.7439351494026708,-0.09068545716055784,1,2024-03-15,0.8380000000000001,0.867,0.034606205250596656,0.034606205250596656,TRADE_OK,2025-12-23
515170.SH,2024-03-07,2024-03-08,2024-03-07,-0.583109296347648,0.42935034399233934,0.8667640539361735,0.5717295652992435,-0.6037532201563413,-0.6191738001022361,-0.19438001890707357,2,2024-03-15,0.604,0.634,0.04966887417218557,0.04966887417218557,TRADE_OK,2025-12-23
512070.SH,2024-03-07,2024-03-08,2024-03-07,-0.7812140660933906,0.07088087582022988,0.36638705993565707,-0.16136066787230238,-0.44709927086837703,-0.7229726790073399,-0.21272412593567724,3,2024-03-15,0.604,0.599,-0.008278145695364225,-0.008278145695364225,TRADE_OK,2025-12-23
512070.SH,2024-03-14,2024-03-15,2024-03-14,-0.7144840383895646,-0.4532022274364887,0.1565991313990471,0.08666942968966973,-0.431819814660135,-0.9735491255991844,0.00018693930649466006,1,2024-03-22,0.599,0.591,-0.013355592654424098,-0.013355592654424098,TRADE_OK,2025-12-23
513520.SH,2024-03-14,2024-03-15,2024-03-14,0.46163269989041095,0.2635789097449635,0.6882717467983351,-1.022551004337196,0.8913539395282808,-0.5293079084205337,-0.041861982178529614,2,2024-03-22,1.54,1.561,0.013636363636363669,0.013636363636363669,TRADE_OK,2025-12-23
159866.SZ,2024-03-14,2024-03-15,2024-03-14,-0.38500452660191453,-0.13890371413752145,0.10292304365319441,-0.5215111353725626,-0.12666368687384275,-0.9158143133897945,-0.057533437844853624,3,2024-03-22,1.121,1.1649999999999998,0.03925066904549501,0.03925066904549501,TRADE_OK,2025-12-23
159996.SZ,2024-03-21,2024-03-22,2024-03-21,-0.2849094850461548,-0.35919297828338465,0.5636158322352188,-0.41984623707385593,-0.5856438197627896,-0.969476093375055,-0.11403973147493746,1,2024-03-29,1.105,1.1340000000000001,0.026244343891402844,0.026244343891402844,TRADE_OK,2025-12-23
