code,select_td,buy_td,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
515220.SH,2024-01-18,2024-01-19,2024-01-26,2.35,2.4530000000000003,0.04382978723404274,0.04382978723404274,TRADE_OK,2025-12-23
513000.SH,2024-01-25,2024-01-26,2024-02-02,1.344,1.3800000000000001,0.026785714285714413,0.026785714285714413,TRADE_OK,2025-12-23
513290.SH,2024-01-25,2024-01-26,2024-02-02,1.147,1.157,0.008718395815169977,0.008718395815169977,TRADE_OK,2025-12-23
159928.SZ,2024-03-07,2024-03-08,2024-03-15,0.8380000000000001,0.867,0.034606205250596656,0.034606205250596656,TRADE_OK,2025-12-23
159941.SZ,2024-03-07,2024-03-08,2024-03-15,1.0070000000000001,0.99,-0.01688182720953335,-0.01688182720953335,TRADE_OK,2025-12-23
510900.SH,2024-03-07,2024-03-08,2024-03-15,0.706,0.73,0.03399433427762033,0.03399433427762033,TRADE_OK,2025-12-23
512070.SH,2024-03-07,2024-03-08,2024-03-15,0.604,0.599,-0.008278145695364225,-0.008278145695364225,TRADE_OK,2025-12-23
515170.SH,2024-03-07,2024-03-08,2024-03-15,0.604,0.634,0.04966887417218557,0.04966887417218557,TRADE_OK,2025-12-23
159866.SZ,2024-03-14,2024-03-15,2024-03-22,1.121,1.1649999999999998,0.03925066904549501,0.03925066904549501,TRADE_OK,2025-12-23
512070.SH,2024-03-14,2024-03-15,2024-03-22,0.599,0.591,-0.013355592654424098,-0.013355592654424098,TRADE_OK,2025-12-23
513520.SH,2024-03-14,2024-03-15,2024-03-22,1.54,1.561,0.013636363636363669,0.013636363636363669,TRADE_OK,2025-12-23
515070.SH,2024-03-14,2024-03-15,2024-03-22,0.972,0.996,0.024691358024691468,0.024691358024691468,TRADE_OK,2025-12-23
159611.SZ,2024-03-21,2024-03-22,2024-03-29,0.9530000000000001,0.9710000000000001,0.018887722980063026,0.018887722980063026,TRADE_OK,2025-12-23
159996.SZ,2024-03-21,2024-03-22,2024-03-29,1.105,1.1340000000000001,0.026244343891402844,0.026244343891402844,TRADE_OK,2025-12-23
510880.SH,2024-03-21,2024-03-22,2024-03-29,3.06,3.072,0.0039215686274509665,0.0039215686274509665,TRADE_OK,2025-12-23
