code,select_td,buy_td,sell_td,t0,net_ret,mom_5,mom_20,ma20_slope_5,ma20_dev,ma20_over_ma60,vol_20,mdd_10,amt_ma20,y_rel
159981.SZ,2024-01-04,2024-01-05,2024-01-12,2024-01-04,-0.02651028270370348,-0.00853138330286407,0.011815920398009938,0.006850000000000023,0.005748902763182295,0.006272224929243064,0.010363870879621883,-0.018697225572979592,21093708.4,0
162415.SZ,2024-01-04,2024-01-05,2024-01-12,2024-01-04,0.018223657179150532,-0.04329725228975856,0.009222661396574683,0.025549999999999518,-0.024638696122747716,0.0601456394411406,0.010046378983360662,-0.04449064449064455,2228956.15,2
180201.SZ,2024-01-04,2024-01-05,2024-01-12,2024-01-04,-0.006915053031939178,0.011136890951276346,0.007047949162334088,0.01890000000000036,0.008685387602057837,-0.002111426338744282,0.00733183062280377,-0.024271294090960738,11663974.1,1
159930.SZ,2024-01-18,2024-01-19,2024-01-26,2024-01-18,0.07755222973933651,-0.0015686274509804088,0.0434426229508198,0.01684999999999981,-0.0015686274509801867,0.032137942200275216,0.011464812665232216,-0.02601377199693944,18606894.9,4
159945.SZ,2024-01-18,2024-01-19,2024-01-26,2024-01-18,0.062219524228571466,-0.007561436672967825,0.032448377581120846,0.011300000000000088,-0.006575523913146308,0.026231471292640363,0.010355992456304681,-0.02957486136783738,5210959.75,3
168204.SZ,2024-01-18,2024-01-19,2024-01-26,2024-01-18,0.053991441590049094,-0.015706806282722474,0.014570966001079322,0.014499999999999957,-0.008281901144696069,0.03869229715538114,0.011018508404833144,-0.03490759753593431,205611.35,2
515220.SH,2024-01-18,2024-01-19,2024-01-26,2024-01-18,0.0432035833063833,-0.01671541997492687,-0.00423190859077438,0.004649999999999821,-0.01603696656700182,0.030302812704203097,0.015309984092319635,-0.04115729421352887,145507296.7,1
161032.SZ,2024-01-18,2024-01-19,2024-01-26,2024-01-18,0.037415308638638844,-0.012357884330202684,0.018867924528301883,0.014749999999999819,-0.008805655463227202,0.0382436260623229,0.011317547335898548,-0.034782608695652306,541793.25,0
508001.SH,2024-01-25,2024-01-26,2024-02-02,2024-01-25,0.0012042939019987209,-0.0190994181634202,0.0023264831329972147,0.0012499999999988631,-0.014718867720767137,0.023167185922462696,0.007628078084790454,-0.04129353233830857,8308929.85,0
513000.SH,2024-01-25,2024-01-26,2024-02-02,2024-01-25,0.026169735267857375,0.005169867060561328,0.044512663085187976,0.030000000000000027,0.010581028401707826,0.054785401002506395,0.023782996838369604,-0.06780821917808222,172154699.1,2
513290.SH,2024-01-25,2024-01-26,2024-02-02,2024-01-25,0.008113255562336663,-0.01639344262295095,0.0,0.011199999999999877,-0.017114282019226712,0.0759941864060858,0.011665864739225982,-0.03143585386576053,118379461.3,1
508001.SH,2024-02-01,2024-02-02,2024-02-08,2024-02-01,0.02303628750128528,0.004255319148936065,-0.00726577437858511,-0.0014499999999992852,-0.010343863572826573,0.02109162628051653,0.007458584446817916,-0.0279949558638084,7456528.45,0
161128.SZ,2024-02-22,2024-02-23,2024-03-01,2024-02-22,-0.012170716944381321,0.004867872044506338,0.10784564272936348,0.09274999999999967,0.011456170232623242,0.08097405954828063,0.0250495923532546,-0.029130632680928525,30045189.35,0
