code,first_valid_date,coverage,max_consecutive_missing,n_days,n_valid,InstrumentName,OpenDate,OpenDate_raw,ExchangeID,InstrumentID,fail_reason
159132.SZ,,0.0,719,719,0,,,,,,
159137.SZ,,0.0,719,719,0,,,,,,
159138.SZ,,0.0,719,719,0,,,,,,
159143.SZ,,0.0,719,719,0,,,,,,
159145.SZ,,0.0,719,719,0,,,,,,
159146.SZ,,0.0,719,719,0,,,,,,
159149.SZ,,0.0,719,719,0,,,,,,
159151.SZ,,0.0,719,719,0,,,,,,
159243.SZ,,0.0,719,719,0,,,,,,
159247.SZ,,0.0,719,719,0,,,,,,
159293.SZ,,0.0,719,719,0,,,,,,
160137.SZ,,0.0,719,719,0,,,,,,
160418.SZ,,0.0,719,719,0,,,,,,
160419.SZ,,0.0,719,719,0,,,,,,
160420.SZ,,0.0,719,719,0,,,,,,
160425.SZ,,0.0,719,719,0,,,,,,
160516.SZ,,0.0,719,719,0,,,,,,
160517.SZ,,0.0,719,719,0,,,,,,
160603.SZ,,0.0,719,719,0,,,,,,
160605.SZ,,0.0,719,719,0,,,,,,
160624.SZ,,0.0,719,719,0,,,,,,
160627.SZ,,0.0,719,719,0,,,,,,
160634.SZ,,0.0,719,719,0,,,,,,
160636.SZ,,0.0,719,719,0,,,,,,
160646.SZ,,0.0,719,719,0,,,,,,
160718.SZ,,0.0,719,719,0,,,,,,
160727.SZ,,0.0,719,719,0,,,,,,
161628.SZ,,0.0,719,719,0,,,,,,
161721.SZ,,0.0,719,719,0,,,,,,
161723.SZ,,0.0,719,719,0,,,,,,
161730.SZ,,0.0,719,719,0,,,,,,
161818.SZ,,0.0,719,719,0,,,,,,
161838.SZ,,0.0,719,719,0,,,,,,
162107.SZ,,0.0,719,719,0,,,,,,
162511.SZ,,0.0,719,719,0,,,,,,
162714.SZ,,0.0,719,719,0,,,,,,
163209.SZ,,0.0,719,719,0,,,,,,
163803.SZ,,0.0,719,719,0,,,,,,
163804.SZ,,0.0,719,719,0,,,,,,
163805.SZ,,0.0,719,719,0,,,,,,
163806.SZ,,0.0,719,719,0,,,,,,
163807.SZ,,0.0,719,719,0,,,,,,
163808.SZ,,0.0,719,719,0,,,,,,
163809.SZ,,0.0,719,719,0,,,,,,
163810.SZ,,0.0,719,719,0,,,,,,
164212.SZ,,0.0,719,719,0,,,,,,
164304.SZ,,0.0,719,719,0,,,,,,
164401.SZ,,0.0,719,719,0,,,,,,
164402.SZ,,0.0,719,719,0,,,,,,
164818.SZ,,0.0,719,719,0,,,,,,
164826.SZ,,0.0,719,719,0,,,,,,
164905.SZ,,0.0,719,719,0,,,,,,
164908.SZ,,0.0,719,719,0,,,,,,
165310.SZ,,0.0,719,719,0,,,,,,
165312.SZ,,0.0,719,719,0,,,,,,
165523.SZ,,0.0,719,719,0,,,,,,
165524.SZ,,0.0,719,719,0,,,,,,
165526.SZ,,0.0,719,719,0,,,,,,
165530.SZ,,0.0,719,719,0,,,,,,
165531.SZ,,0.0,719,719,0,,,,,,
166002.SZ,,0.0,719,719,0,,,,,,
166005.SZ,,0.0,719,719,0,,,,,,
166007.SZ,,0.0,719,719,0,,,,,,
166109.SZ,,0.0,719,719,0,,,,,,
166802.SZ,,0.0,719,719,0,,,,,,
167503.SZ,,0.0,719,719,0,,,,,,
167505.SZ,,0.0,719,719,0,,,,,,
167702.SZ,,0.0,719,719,0,,,,,,
168002.SZ,,0.0,719,719,0,,,,,,
169108.SZ,,0.0,719,719,0,,,,,,
501006.SH,,0.0,719,719,0,,,,,,
501023.SH,,0.0,719,719,0,,,,,,
512623.SH,,0.0,719,719,0,,,,,,
513723.SH,,0.0,719,719,0,,,,,,
513724.SH,,0.0,719,719,0,,,,,,
515373.SH,,0.0,719,719,0,,,,,,
515733.SH,,0.0,719,719,0,,,,,,
516250.SH,,0.0,719,719,0,,,,,,
516253.SH,,0.0,719,719,0,,,,,,
517953.SH,,0.0,719,719,0,,,,,,
520533.SH,,0.0,719,719,0,,,,,,
520573.SH,,0.0,719,719,0,,,,,,
520593.SH,,0.0,719,719,0,,,,,,
520630.SH,,0.0,719,719,0,,,,,,
520633.SH,,0.0,719,719,0,,,,,,
520653.SH,,0.0,719,719,0,,,,,,
520773.SH,,0.0,719,719,0,,,,,,
520774.SH,,0.0,719,719,0,,,,,,
520783.SH,,0.0,719,719,0,,,,,,
520813.SH,,0.0,719,719,0,,,,,,
520814.SH,,0.0,719,719,0,,,,,,
520823.SH,,0.0,719,719,0,,,,,,
520853.SH,,0.0,719,719,0,,,,,,
520854.SH,,0.0,719,719,0,,,,,,
520873.SH,,0.0,719,719,0,,,,,,
560133.SH,,0.0,719,719,0,,,,,,
560134.SH,,0.0,719,719,0,,,,,,
561663.SH,,0.0,719,719,0,,,,,,
562073.SH,,0.0,719,719,0,,,,,,
562074.SH,,0.0,719,719,0,,,,,,
563513.SH,,0.0,719,719,0,,,,,,
563533.SH,,0.0,719,719,0,,,,,,
563563.SH,,0.0,719,719,0,,,,,,
563564.SH,,0.0,719,719,0,,,,,,
563793.SH,,0.0,719,719,0,,,,,,
563794.SH,,0.0,719,719,0,,,,,,
563853.SH,,0.0,719,719,0,,,,,,
563873.SH,,0.0,719,719,0,,,,,,
563874.SH,,0.0,719,719,0,,,,,,
563933.SH,,0.0,719,719,0,,,,,,
563934.SH,,0.0,719,719,0,,,,,,
563963.SH,,0.0,719,719,0,,,,,,
588413.SH,,0.0,719,719,0,,,,,,
588414.SH,,0.0,719,719,0,,,,,,
588423.SH,,0.0,719,719,0,,,,,,
588424.SH,,0.0,719,719,0,,,,,,
588433.SH,,0.0,719,719,0,,,,,,
588434.SH,,0.0,719,719,0,,,,,,
589033.SH,,0.0,719,719,0,,,,,,
589034.SH,,0.0,719,719,0,,,,,,
589133.SH,,0.0,719,719,0,,,,,,
589134.SH,,0.0,719,719,0,,,,,,
589153.SH,,0.0,719,719,0,,,,,,
589154.SH,,0.0,719,719,0,,,,,,
589210.SH,,0.0,719,719,0,,,,,,
589213.SH,,0.0,719,719,0,,,,,,
159139.SZ,2025-12-19,0.0013908205841446453,718,719,1,,,,,,
180306.SZ,2025-12-19,0.0013908205841446453,718,719,1,,,,,,
563850.SH,2025-12-19,0.0013908205841446453,718,719,1,,,,,,
159140.SZ,2025-12-18,0.0027816411682892906,717,719,2,,,,,,
517950.SH,2025-12-18,0.0027816411682892906,717,719,2,,,,,,
520820.SH,2025-12-15,0.006954102920723227,714,719,5,,,,,,
159142.SZ,2025-12-12,0.008344923504867872,713,719,6,,,,,,
159141.SZ,2025-12-11,0.009735744089012517,712,719,7,,,,,,
159253.SZ,2025-12-08,0.013908205841446454,709,719,10,,,,,,
520530.SH,2025-12-08,0.013908205841446454,709,719,10,,,,,,
520590.SH,2025-12-01,0.02086230876216968,704,719,15,,,,,,
563510.SH,2025-12-01,0.02086230876216968,704,719,15,,,,,,
159118.SZ,2025-11-27,0.02364394993045897,702,719,17,,,,,,
159123.SZ,2025-11-27,0.02364394993045897,702,719,17,,,,,,
159130.SZ,2025-11-27,0.02364394993045897,702,719,17,,,,,,
159133.SZ,2025-11-25,0.02642559109874826,700,719,19,,,,,,
515730.SH,2025-11-25,0.02642559109874826,700,719,19,,,,,,
520950.SH,2025-11-25,0.02642559109874826,700,719,19,,,,,,
159108.SZ,2025-11-24,0.027816411682892908,699,719,20,,,,,,
159121.SZ,2025-11-24,0.027816411682892908,699,719,20,,,,,,
512620.SH,2025-11-21,0.02920723226703755,698,719,21,,,,,,
159127.SZ,2025-11-20,0.030598052851182198,697,719,22,,,,,,
515370.SH,2025-11-18,0.03337969401947149,695,719,24,,,,,,
520570.SH,2025-11-17,0.03477051460361613,694,719,25,,,,,,
159129.SZ,2025-11-14,0.03616133518776078,693,719,26,,,,,,
563530.SH,2025-11-14,0.03616133518776078,693,719,26,,,,,,
159100.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
159119.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
159120.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
159128.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
159131.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
520870.SH,2025-11-13,0.037552155771905425,692,719,27,,,,,,
563570.SH,2025-11-11,0.04033379694019471,690,719,29,,,,,,
520650.SH,2025-11-10,0.04172461752433936,689,719,30,,,,,,
561660.SH,2025-11-10,0.04172461752433936,689,719,30,,,,,,
563380.SH,2025-11-07,0.043115438108484005,688,719,31,,,,,,
563980.SH,2025-11-07,0.043115438108484005,688,719,31,,,,,,
159125.SZ,2025-11-06,0.04450625869262865,687,719,32,,,,,,
508029.SH,2025-11-06,0.04450625869262865,687,719,32,,,,,,
563590.SH,2025-11-05,0.0458970792767733,686,719,33,,,,,,
159260.SZ,2025-11-04,0.04728789986091794,685,719,34,,,,,,
159295.SZ,2025-11-04,0.04728789986091794,685,719,34,,,,,,
159105.SZ,2025-11-03,0.048678720445062586,684,719,35,,,,,,
159122.SZ,2025-11-03,0.048678720445062586,684,719,35,,,,,,
159126.SZ,2025-11-03,0.048678720445062586,684,719,35,,,,,,
180607.SZ,2025-10-31,0.05006954102920723,683,719,36,,,,,,
520960.SH,2025-10-31,0.05006954102920723,683,719,36,,,,,,
563750.SH,2025-10-30,0.05146036161335188,682,719,37,,,,,,
510670.SH,2025-10-29,0.05285118219749652,681,719,38,,,,,,
159106.SZ,2025-10-22,0.059805285118219746,676,719,43,,,,,,
512630.SH,2025-10-22,0.059805285118219746,676,719,43,,,,,,
530100.SH,2025-10-22,0.059805285118219746,676,719,43,,,,,,
159285.SZ,2025-10-20,0.06258692628650904,674,719,45,,,,,,
159117.SZ,2025-10-17,0.06397774687065369,673,719,46,,,,,,
563890.SH,2025-10-17,0.06397774687065369,673,719,46,,,,,,
589950.SH,2025-10-17,0.06397774687065369,673,719,46,,,,,,
588140.SH,2025-10-15,0.06675938803894298,671,719,48,,,,,,
589110.SH,2025-10-15,0.06675938803894298,671,719,48,,,,,,
563670.SH,2025-10-14,0.06815020862308763,670,719,49,,,,,,
520560.SH,2025-10-13,0.06954102920723226,669,719,50,,,,,,
159109.SZ,2025-10-10,0.07093184979137691,668,719,51,,,,,,
563690.SH,2025-10-10,0.07093184979137691,668,719,51,,,,,,
515720.SH,2025-10-09,0.07232267037552156,667,719,52,,,,,,
520920.SH,2025-09-30,0.0737134909596662,666,719,53,,,,,,
530380.SH,2025-09-30,0.0737134909596662,666,719,53,,,,,,
159275.SZ,2025-09-29,0.07510431154381085,665,719,54,,,,,,
159279.SZ,2025-09-29,0.07510431154381085,665,719,54,,,,,,
508091.SH,2025-09-29,0.07510431154381085,665,719,54,,,,,,
159288.SZ,2025-09-26,0.07649513212795549,664,719,55,,,,,,
563600.SH,2025-09-26,0.07649513212795549,664,719,55,,,,,,
589780.SH,2025-09-26,0.07649513212795549,664,719,55,,,,,,
520720.SH,2025-09-25,0.07788595271210014,663,719,56,,,,,,
159110.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159111.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159112.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159113.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159115.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159116.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
511150.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551060.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551300.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551510.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551520.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551560.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551580.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551800.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159107.SZ,2025-09-22,0.08205841446453407,660,719,59,,,,,,
159297.SZ,2025-09-22,0.08205841446453407,660,719,59,,,,,,
589960.SH,2025-09-22,0.08205841446453407,660,719,59,,,,,,
159272.SZ,2025-09-19,0.08344923504867872,659,719,60,,,,,,
589120.SH,2025-09-19,0.08344923504867872,659,719,60,,,,,,
560570.SH,2025-09-18,0.08484005563282336,658,719,61,,,,,,
159290.SZ,2025-09-17,0.08623087621696801,657,719,62,,,,,,
563230.SH,2025-09-17,0.08623087621696801,657,719,62,,,,,,
159102.SZ,2025-09-16,0.08762169680111266,656,719,63,,,,,,
159289.SZ,2025-09-15,0.0890125173852573,655,719,64,,,,,,
589820.SH,2025-09-15,0.0890125173852573,655,719,64,,,,,,
508082.SH,2025-09-12,0.09040333796940195,654,719,65,,,,,,
588550.SH,2025-09-12,0.09040333796940195,654,719,65,,,,,,
159299.SZ,2025-09-11,0.0917941585535466,653,719,66,,,,,,
159103.SZ,2025-09-10,0.09318497913769123,652,719,67,,,,,,
159298.SZ,2025-09-08,0.09596662030598054,650,719,69,,,,,,
561680.SH,2025-09-05,0.09735744089012517,649,719,70,,,,,,
589560.SH,2025-09-05,0.09735744089012517,649,719,70,,,,,,
159296.SZ,2025-09-04,0.09874826147426982,648,719,71,,,,,,
589020.SH,2025-09-04,0.09874826147426982,648,719,71,,,,,,
159101.SZ,2025-09-03,0.10013908205841446,647,719,72,,,,,,
563320.SH,2025-09-03,0.10013908205841446,647,719,72,,,,,,
159281.SZ,2025-09-02,0.10152990264255911,646,719,73,,,,,,
159286.SZ,2025-09-02,0.10152990264255911,646,719,73,,,,,,
159292.SZ,2025-09-02,0.10152990264255911,646,719,73,,,,,,
159291.SZ,2025-09-01,0.10292072322670376,645,719,74,,,,,,
560770.SH,2025-09-01,0.10292072322670376,645,719,74,,,,,,
159500.SZ,2025-08-29,0.1043115438108484,644,719,75,,,,,,
530530.SH,2025-08-29,0.1043115438108484,644,719,75,,,,,,
588690.SH,2025-08-29,0.1043115438108484,644,719,75,,,,,,
159259.SZ,2025-08-28,0.10570236439499305,643,719,76,,,,,,
159287.SZ,2025-08-27,0.1070931849791377,642,719,77,,,,,,
589090.SH,2025-08-27,0.1070931849791377,642,719,77,,,,,,
520840.SH,2025-08-25,0.10987482614742698,640,719,79,,,,,,
159283.SZ,2025-08-21,0.11265646731571627,638,719,81,,,,,,
159369.SZ,2025-08-21,0.11265646731571627,638,719,81,,,,,,
563620.SH,2025-08-20,0.11404728789986092,637,719,82,,,,,,
520620.SH,2025-08-19,0.11543810848400557,636,719,83,,,,,,
