code,first_valid_date,coverage,max_consecutive_missing,n_days,n_valid,InstrumentName,OpenDate,OpenDate_raw,ExchangeID,InstrumentID
159001.SZ,2023-01-03,1.0,0,719,719,货币ETF,2014-10-20,20141020,SZ,159001
159003.SZ,2023-01-03,1.0,0,719,719,招商快线ETF,2014-10-20,20141020,SZ,159003
159005.SZ,2023-01-03,1.0,0,719,719,汇添富快钱ETF,2015-01-13,20150113,SZ,159005
159601.SZ,2023-01-03,1.0,0,719,719,A50ETF,2021-11-08,20211108,SZ,159601
159602.SZ,2023-01-03,1.0,0,719,719,中国A50ETF,2021-11-08,20211108,SZ,159602
159603.SZ,2023-01-03,1.0,0,719,719,双创龙头ETF,2022-06-08,20220608,SZ,159603
159605.SZ,2023-01-03,1.0,0,719,719,中概互联ETF,2021-12-02,20211202,SZ,159605
159606.SZ,2023-01-03,1.0,0,719,719,中证500成长ETF,2021-12-29,20211229,SZ,159606
159607.SZ,2023-01-03,1.0,0,719,719,中概互联网ETF,2021-12-02,20211202,SZ,159607
159608.SZ,2023-01-03,1.0,0,719,719,稀有金属ETF,2021-12-23,20211223,SZ,159608
159609.SZ,2023-01-03,1.0,0,719,719,光伏龙头ETF,2022-07-08,20220708,SZ,159609
159610.SZ,2023-01-03,1.0,0,719,719,500ETF增强,2022-01-10,20220110,SZ,159610
159611.SZ,2023-01-03,1.0,0,719,719,电力ETF,2022-01-07,20220107,SZ,159611
159613.SZ,2023-01-03,1.0,0,719,719,信息安全ETF,2022-01-27,20220127,SZ,159613
159615.SZ,2023-01-03,1.0,0,719,719,恒生生物科技ETF,2022-06-28,20220628,SZ,159615
159616.SZ,2023-01-03,1.0,0,719,719,农牧ETF,2022-08-08,20220808,SZ,159616
159618.SZ,2023-01-03,1.0,0,719,719,光伏ETF指数基金,2022-04-22,20220422,SZ,159618
159619.SZ,2023-01-03,1.0,0,719,719,基建ETF,2022-02-18,20220218,SZ,159619
159623.SZ,2023-01-03,1.0,0,719,719,成渝经济圈ETF,2022-09-09,20220909,SZ,159623
159625.SZ,2023-01-03,1.0,0,719,719,绿色电力ETF,2022-04-29,20220429,SZ,159625
159628.SZ,2023-01-03,1.0,0,719,719,国证2000ETF,2022-07-18,20220718,SZ,159628
159629.SZ,2023-01-03,1.0,0,719,719,1000ETF,2022-08-03,20220803,SZ,159629
159631.SZ,2023-01-03,1.0,0,719,719,中证A100ETF,2022-08-26,20220826,SZ,159631
159632.SZ,2023-01-03,1.0,0,719,719,纳斯达克ETF,2022-08-03,20220803,SZ,159632
159633.SZ,2023-01-03,1.0,0,719,719,中证1000ETF易方达,2022-08-04,20220804,SZ,159633
159635.SZ,2023-01-03,1.0,0,719,719,基建50ETF,2022-07-12,20220712,SZ,159635
159636.SZ,2023-01-03,1.0,0,719,719,港股通科技30ETF,2022-07-20,20220720,SZ,159636
159637.SZ,2023-01-03,1.0,0,719,719,新能源车ETF东财,2022-09-01,20220901,SZ,159637
159638.SZ,2023-01-03,1.0,0,719,719,高端装备ETF,2022-08-12,20220812,SZ,159638
159639.SZ,2023-01-03,1.0,0,719,719,碳中和ETF南方,2022-07-19,20220719,SZ,159639
159640.SZ,2023-01-03,1.0,0,719,719,碳中和龙头ETF,2022-07-21,20220721,SZ,159640
159641.SZ,2023-01-03,1.0,0,719,719,双碳ETF,2022-07-22,20220722,SZ,159641
159642.SZ,2023-01-03,1.0,0,719,719,碳中和100ETF,2022-07-21,20220721,SZ,159642
159643.SZ,2023-01-03,1.0,0,719,719,疫苗ETF,2022-08-22,20220822,SZ,159643
159647.SZ,2023-01-03,1.0,0,719,719,中药ETF,2022-07-28,20220728,SZ,159647
159649.SZ,2023-01-03,1.0,0,719,719,国开债ETF,2022-10-24,20221024,SZ,159649
159650.SZ,2023-01-03,1.0,0,719,719,国开ETF,2022-10-28,20221028,SZ,159650
159651.SZ,2023-01-03,1.0,0,719,719,国开债券ETF,2022-11-16,20221116,SZ,159651
159655.SZ,2023-01-03,1.0,0,719,719,标普ETF,2022-10-25,20221025,SZ,159655
