datetime,market_limit_up_count,market_limit_down_count
2014-01-02,0,0
2014-01-03,13,0
2014-01-06,6,6
2014-01-07,10,3
2014-01-08,10,0
2014-01-09,8,2
2014-01-10,11,9
2014-01-13,7,10
2014-01-14,23,4
2014-01-15,11,0
2014-01-16,14,1
2014-01-17,7,4
2014-01-20,13,9
2014-01-21,25,0
2014-01-22,32,1
2014-01-23,27,0
2014-01-24,42,0
2014-01-27,16,0
2014-01-28,13,4
2014-01-29,25,3
2014-01-30,15,8
2014-02-07,47,1
2014-02-10,62,0
2014-02-11,46,1
2014-02-12,44,0
2014-02-13,17,5
2014-02-14,40,1
2014-02-17,49,0
2014-02-18,34,0
2014-02-19,32,1
2014-02-20,28,8
2014-02-21,13,3
2014-02-24,31,12
2014-02-25,18,50
2014-02-26,38,1
2014-02-27,26,12
2014-02-28,30,6
2014-03-03,49,0
2014-03-04,19,2
2014-03-05,19,4
2014-03-06,20,2
2014-03-07,19,3
2014-03-10,7,46
2014-03-11,17,4
2014-03-12,19,12
2014-03-13,23,3
2014-03-14,7,5
2014-03-17,29,0
2014-03-18,24,0
2014-03-19,25,1
2014-03-20,16,19
2014-03-21,28,2
2014-03-24,36,1
2014-03-25,24,4
2014-03-26,15,1
2014-03-27,11,12
2014-03-28,8,36
2014-03-31,4,28
2014-04-01,17,2
2014-04-02,18,3
2014-04-03,10,7
2014-04-04,18,3
2014-04-08,17,2
2014-04-09,19,1
2014-04-10,20,5
2014-04-11,12,2
2014-04-14,19,3
2014-04-15,12,2
2014-04-16,9,5
2014-04-17,8,3
2014-04-18,8,2
2014-04-21,8,11
2014-04-22,6,12
2014-04-23,10,5
2014-04-24,9,14
2014-04-25,3,23
2014-04-28,4,78
2014-04-29,21,10
2014-04-30,16,13
2014-05-05,14,3
2014-05-06,14,1
2014-05-07,9,13
2014-05-08,18,6
2014-05-09,9,6
2014-05-12,49,4
2014-05-13,9,16
2014-05-14,12,9
2014-05-15,2,13
2014-05-16,4,15
2014-05-19,2,10
2014-05-20,11,11
2014-05-21,14,11
2014-05-22,12,10
2014-05-23,13,16
2014-05-26,9,4
2014-05-27,10,11
2014-05-28,14,14
2014-05-29,7,7
2014-05-30,11,12
2014-06-03,15,4
2014-06-04,5,9
2014-06-05,15,2
2014-06-06,2,4
2014-06-09,7,9
2014-06-10,9,5
2014-06-11,9,8
2014-06-12,14,14
2014-06-13,19,3
2014-06-16,16,9
2014-06-17,8,11
2014-06-18,13,5
2014-06-19,3,37
2014-06-20,13,5
2014-06-23,22,5
2014-06-24,19,5
2014-06-25,11,5
2014-06-26,21,1
2014-06-27,36,7
2014-06-30,26,3
2014-07-01,24,3
2014-07-02,32,3
2014-07-03,31,3
2014-07-04,20,8
2014-07-07,15,3
2014-07-08,19,2
2014-07-09,15,14
2014-07-10,31,4
2014-07-11,26,2
2014-07-14,35,5
2014-07-15,23,7
2014-07-16,19,9
2014-07-17,6,7
2014-07-18,14,2
2014-07-21,15,1
2014-07-22,31,1
2014-07-23,19,0
2014-07-24,19,5
2014-07-25,19,2
2014-07-28,27,3
2014-07-29,38,2
2014-07-30,37,1
2014-07-31,21,2
2014-08-01,22,1
2014-08-04,35,1
2014-08-05,25,1
2014-08-06,19,0
2014-08-07,13,2
2014-08-08,14,1
2014-08-11,26,2
2014-08-12,19,1
2014-08-13,22,3
2014-08-14,22,3
2014-08-15,24,2
2014-08-18,34,1
2014-08-19,37,1
2014-08-20,33,1
2014-08-21,26,1
2014-08-22,27,0
2014-08-25,23,2
2014-08-26,20,7
2014-08-27,34,2
2014-08-28,13,7
2014-08-29,11,1
2014-09-01,24,1
2014-09-02,33,1
2014-09-03,25,1
2014-09-04,26,0
2014-09-05,27,0
2014-09-09,25,0
2014-09-10,33,3
2014-09-11,26,1
2014-09-12,34,2
2014-09-15,36,3
2014-09-16,16,30
2014-09-17,29,1
2014-09-18,25,0
2014-09-19,34,4
2014-09-22,20,5
2014-09-23,29,1
2014-09-24,28,0
2014-09-25,22,4
2014-09-26,15,5
2014-09-29,26,3
2014-09-30,25,2
2014-10-08,46,1
2014-10-09,29,4
2014-10-10,22,3
2014-10-13,24,1
2014-10-14,25,1
2014-10-15,30,1
2014-10-16,22,4
2014-10-17,26,4
2014-10-20,18,2
2014-10-21,11,4
2014-10-22,12,2
2014-10-23,10,8
2014-10-24,14,8
2014-10-27,10,7
2014-10-28,38,0
2014-10-29,38,2
2014-10-30,20,1
2014-10-31,15,0
2014-11-03,29,0
2014-11-04,30,1
2014-11-05,23,1
2014-11-06,29,1
2014-11-07,18,0
2014-11-10,38,2
2014-11-11,18,34
2014-11-12,45,0
2014-11-13,26,9
2014-11-14,15,11
2014-11-17,21,0
2014-11-18,19,1
2014-11-19,21,0
2014-11-20,19,0
2014-11-21,25,1
2014-11-24,29,0
2014-11-25,39,1
2014-11-26,29,1
2014-11-27,37,1
2014-11-28,41,1
2014-12-01,36,5
2014-12-02,37,0
2014-12-03,37,3
2014-12-04,72,0
2014-12-05,47,24
2014-12-08,74,9
2014-12-09,14,162
2014-12-10,95,1
2014-12-11,72,2
2014-12-12,41,4
2014-12-15,47,1
2014-12-16,45,2
2014-12-17,33,1
2014-12-18,33,2
2014-12-19,40,11
2014-12-22,25,217
2014-12-23,14,41
