code,select_time,trade_time,behave,strategy_name,date
159608.SZ,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
159713.SZ,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
159715.SZ,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
159755.SZ,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
159775.SZ,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
160416.SZ,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
162719.SZ,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
501057.SH,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
513310.SH,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
516150.SH,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
516390.SH,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
516780.SH,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
561910.SH,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
562800.SH,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
160311.SZ,2024-04-18,2024-04-19,PASS,etf_weekly_pullback,20240418
